 CERN Personnel
 Category       Division        Flag        Age        Service        Children        Grade        Step        Nation        HrPerWeek        Cost
 202 9 15 58 28 0 10 13 4 40 11975 
 530 5 15 63 33 0 9 13 3 40 10228 
 316 9 15 56 31 2 9 13 7 40 10730 
 361 9 15 61 35 0 9 7 7 40 9311 
 302 9 15 52 24 2 9 8 4 40 9966 
 303 9 15 60 33 0 7 13 10 40 7599 
 302 11 15 53 25 1 9 9 3 40 9868 
 361 9 15 60 32 1 8 5 10 40 8012 
 340 9 15 51 28 0 8 13 4 40 8813 
 361 9 15 56 32 1 7 13 7 40 7850 
 361 9 15 51 29 0 7 13 7 40 7599 
 303 9 15 54 31 2 8 13 3 40 9315 
 302 9 15 54 29 0 7 13 3 40 7599 
 300 9 15 46 25 0 8 6 3 40 7892 
 361 9 15 54 26 1 7 13 4 40 7850 
 361 9 15 57 29 0 7 13 7 40 7599 
 316 9 11 55 28 0 8 11 3 40 8137 
 303 10 15 55 26 1 7 13 7 40 7850 
 361 9 15 57 29 1 7 8 7 40 7294 
 361 9 15 51 28 2 7 13 7 40 8101 
 419 9 13 54 29 0 5 13 7 40 5720 
 202 9 15 57 26 1 12 13 4 40 15832 
 304 9 15 63 29 1 10 13 11 40 12226 
 204 9 15 56 27 0 11 9 4 40 13135 
 204 7 15 49 27 0 9 9 8 40 9617 
 304 9 15 52 26 2 8 10 7 40 8920 
 304 9 15 56 28 1 9 6 7 40 9409 
 202 9 15 58 27 0 11 13 7 40 15340 
 204 4 15 54 27 1 11 9 7 40 13386 
 202 4 11 59 33 0 13 10 10 40 16394 
 202 9 15 63 33 1 11 13 10 40 15591 
 302 9 13 58 33 0 9 13 4 40 9341 
 304 9 15 63 33 0 10 8 11 40 11056 
 300 9 13 56 33 0 8 13 3 40 8052 
 300 9 9 53 27 0 7 13 7 40 6718 
 300 9 15 59 28 1 9 13 10 40 10479 
 341 7 15 56 25 0 10 10 8 40 11423 
 301 9 15 54 24 0 9 10 8 40 9770 
 441 5 14 53 29 1 6 13 3 32 5725 
 201 4 15 53 26 1 11 1 3 40 11678 
 441 5 10 48 25 0 7 8 4 40 6664 
 201 5 15 63 32 1 11 6 10 40 12746 
 301 5 13 56 31 0 9 8 3 40 8645 
 301 4 15 55 30 0 8 13 7 40 8813 
 301 5 13 57 28 0 8 12 3 40 7932 
 301 7 15 57 27 1 8 13 7 40 9064 
 310 5 15 61 27 2 8 6 10 40 8394 
 402 5 13 56 34 0 7 8 7 40 6440 
 502 6 15 47 25 1 9 3 10 40 8950 
 211 9 15 53 29 0 11 13 1 40 15340 
 341 7 15 64 30 0 8 9 3 40 8286 
 543 8 10 50 29 0 8 13 11 40 8394 
 341 10 13 52 29 2 8 12 3 40 8434 
 200 7 15 61 32 1 10 5 2 40 10757 
 310 10 15 62 28 1 8 12 3 40 8932 
 300 9 13 53 29 4 9 7 7 40 9509 
 304 7 15 55 30 0 8 13 3 40 8813 
 304 7 13 47 26 2 9 2 7 40 8310 
 211 9 15 55 29 2 13 9 8 40 17194 
 211 9 15 53 26 0 12 13 1 40 15581 
 200 7 15 57 32 1 12 12 12 40 15587 
 304 10 15 59 33 0 9 13 7 40 10228 
 202 7 15 60 29 1 12 12 1 40 15587 
 304 7 13 55 31 0 9 11 3 40 9062 
 304 9 15 51 29 2 9 11 8 40 10425 
 204 9 15 53 29 1 11 3 10 40 12105 
 304 9 15 55 29 1 7 13 8 40 7850 
 316 7 13 53 27 1 8 10 7 40 7943 
 316 7 15 52 25 0 8 13 7 40 8813 
 304 7 15 57 26 0 7 13 7 40 7599 
 300 5 9 61 32 0 10 13 3 40 10703 
 216 7 8 51 29 0 9 11 3 40 8834 
 301 5 15 52 26 1 7 13 6 40 7850 
 317 4 15 49 26 2 7 13 7 40 8101 
 402 9 13 56 27 2 7 13 7 40 7448 
 211 7 15 51 25 1 12 11 1 40 15342 
 530 7 8 45 25 0 7 8 7 40 6212 
 211 7 11 53 27 0 13 10 4 40 16394 
 216 7 14 56 33 0 10 6 3 40 10689 
 204 7 15 53 26 1 12 12 5 40 15587 
 300 7 13 53 31 0 9 13 7 40 9341 
 211 7 15 60 33 1 13 10 4 40 17246 
 204 11 15 56 30 0 13 10 4 40 16995 
 204 9 15 56 25 2 12 13 4 40 16083 
 304 7 15 51 25 1 9 6 7 40 9409 
 211 10 15 57 33 2 13 10 11 40 17497 
 211 10 15 56 31 2 13 10 11 40 17497 
 200 10 15 52 28 0 9 13 4 40 10228 
 316 7 11 51 28 0 7 13 4 40 7208 
 200 10 15 54 25 1 13 8 14 40 16640 
 211 7 15 55 26 0 12 13 8 40 15581 
 400 7 13 52 27 1 6 13 7 40 6404 
 300 7 13 59 33 0 9 13 3 40 9341 
 200 7 15 62 27 0 11 13 7 40 15340 
 307 7 15 61 26 2 8 13 7 40 9315 
 201 7 15 54 27 2 10 9 3 40 11741 
 200 4 15 61 33 2 13 10 10 40 17497 
 211 10 15 60 25 0 12 11 2 40 15091 
 204 7 15 50 25 2 13 5 5 40 15981 
 304 9 13 55 26 0 8 10 7 40 7692 
 301 7 15 53 25 2 7 13 6 40 8101 
 200 3 15 59 33 0 14 7 10 40 18351 
 500 2 14 58 33 0 9 13 3 40 10228 
 211 2 15 55 29 0 12 13 8 40 15581 
 211 2 15 58 31 1 12 13 11 40 15832 
 204 13 15 56 30 1 10 13 8 40 12226 
 500 4 15 53 24 0 11 13 7 40 15340 
 341 11 13 59 33 0 10 13 7 40 10931 
 204 2 15 51 29 0 10 6 3 40 10689 
 419 2 15 59 32 0 7 13 3 40 7599 
 204 2 13 49 25 1 11 6 7 40 11656 
 310 10 29 57 31 0 8 13 3 40 8052 
 341 9 15 53 24 1 7 13 7 40 7850 
 304 2 11 50 28 0 9 11 2 40 9479 
 204 10 15 50 27 0 10 3 5 40 10139 
 304 2 15 49 26 1 9 9 11 40 9868 
 424 7 31 52 26 0 6 13 7 40 6727 
 303 2 15 49 28 1 7 13 4 40 7850 
 402 10 9 58 28 0 6 13 7 40 5925 
 216 2 15 60 30 1 12 13 8 40 15832 
 216 3 15 55 27 1 13 10 10 40 17246 
 216 2 15 54 26 1 11 13 8 40 15591 
 216 5 15 56 26 0 11 13 4 40 15340 
 216 2 15 52 25 2 11 13 7 40 15842 
 216 2 13 52 24 2 11 10 3 40 12684 
 216 2 15 61 30 0 12 13 4 40 15581 
 216 1 15 56 29 0 12 13 8 40 15581 
 215 2 15 55 28 1 12 13 3 40 15832 
 216 2 10 58 28 0 10 13 8 32 9274 
 216 10 15 55 26 1 11 13 8 40 15591 
 216 2 15 47 24 2 12 13 5 40 16083 
 216 2 15 54 25 2 11 8 10 40 13424 
 216 2 15 55 25 1 11 13 4 40 15591 
 308 2 15 53 32 0 8 9 7 40 8286 
 365 2 15 53 31 0 7 13 7 40 7599 
 304 5 15 53 28 1 7 13 3 40 7850 
 511 2 11 50 25 0 11 7 10 40 12203 
 308 5 15 49 27 0 9 11 4 40 9923 
 216 2 10 54 30 0 9 10 4 40 9330 
 497 2 15 56 33 0 6 13 7 40 6727 
 365 2 15 52 31 0 6 13 7 40 6727 
 308 2 13 47 24 0 7 13 7 40 6946 
 300 2 15 55 32 0 8 10 7 40 8418 
 419 2 15 50 28 0 6 13 7 40 6727 
 402 5 29 57 27 1 7 11 3 40 6995 
 419 2 15 55 31 1 6 13 7 40 6978 
 304 2 11 51 29 0 8 10 10 40 8008 
 300 2 15 52 32 0 7 11 7 40 7376 
 308 7 15 52 27 0 8 8 7 40 8155 
 300 2 15 54 27 0 7 10 7 40 7265 
 566 2 15 51 29 0 7 11 7 40 7376 
 537 2 15 53 26 1 8 8 7 40 8406 
 566 2 15 54 26 1 7 11 7 40 7627 
 308 2 15 51 26 1 8 5 7 40 8012 
 424 4 12 59 25 0 6 13 3 40 6153 
 505 12 14 54 33 0 9 10 7 40 9770 
 535 12 10 59 28 0 7 13 11 40 7208 
 312 1 15 51 29 2 8 8 3 40 8657 
 504 12 14 55 26 1 9 5 3 40 9256 
 312 1 15 58 31 0 7 12 3 40 7487 
 443 2 12 56 19 0 6 13 7 20 3307 
 560 12 14 55 19 1 6 11 7 30 5273 
 560 12 12 48 25 1 5 13 7 30 4652 
 204 2 15 51 24 3 11 11 11 40 14315 
 448 4 12 59 22 0 4 15 7 40 5570 
 500 5 10 59 29 0 9 13 3 40 9778 
 301 4 13 56 33 1 8 13 3 40 8303 
 543 4 8 53 32 0 7 13 3 40 6718 
 211 9 11 59 33 0 13 10 11 40 16394 
 201 9 15 58 27 2 11 11 5 40 14064 
 302 10 15 57 28 0 10 8 11 40 11056 
 301 5 11 49 27 0 9 7 4 40 8881 
 300 10 13 48 26 3 9 7 3 40 9258 
 303 9 13 46 26 1 8 8 3 40 7704 
 211 7 15 59 33 1 13 10 4 40 17246 
 211 5 15 56 26 0 12 12 4 40 15336 
 204 9 15 56 33 1 11 11 10 40 13813 
 300 10 15 53 29 1 9 8 4 40 9715 
 303 9 15 52 28 1 8 13 7 40 9064 
 211 4 13 52 26 0 11 13 3 40 13996 
 202 9 15 52 26 1 12 8 7 40 14609 
 315 13 15 57 30 0 9 10 8 40 9770 
 302 7 13 53 28 0 9 11 7 40 9062 
 402 9 13 53 28 0 7 9 7 40 6542 
 211 4 15 59 29 0 11 13 12 40 15340 
 303 4 15 56 32 0 8 11 7 40 8549 
 302 4 15 51 25 0 9 8 4 40 9464 
 200 9 15 63 33 2 14 7 11 40 18853 
 202 7 15 54 28 2 11 13 4 40 15842 
 211 5 15 59 29 2 11 13 4 40 15842 
 102 5 15 52 27 2 13 10 8 40 17497 
 201 7 15 54 26 2 11 7 4 40 13210 
 214 5 15 56 31 0 11 13 12 40 15340 
 499 5 8 62 27 0 7 13 7 40 6718 
 301 4 15 57 29 2 8 8 10 40 8657 
 402 4 13 56 34 1 7 11 3 40 6995 
 417 4 15 49 28 0 7 13 7 40 7599 
 301 4 13 50 27 2 8 9 7 40 8075 
 204 4 11 63 33 0 12 13 10 40 15012 
 211 4 15 51 26 2 11 7 8 40 13210 
 204 10 15 63 28 2 11 12 3 40 14278 
 304 10 15 57 33 1 9 9 7 40 9868 
 424 4 13 57 33 0 7 8 3 40 6440 
 304 4 13 51 26 2 7 13 7 40 7448 
 304 4 13 50 24 0 9 7 7 40 8505 
 402 4 15 64 27 0 6 13 10 40 6727 
 201 7 15 58 31 0 11 13 3 40 15340 
 341 4 13 59 33 1 9 13 3 40 9592 
 341 7 13 59 26 0 9 10 3 40 8923 
 402 4 13 51 26 2 6 13 7 40 6655 
 403 9 13 52 29 2 7 6 7 40 6740 
 400 7 13 49 26 1 6 13 7 40 6404 
 566 5 8 56 26 0 6 13 7 40 5925 
 447 5 8 45 26 0 6 12 7 40 5834 
 443 10 8 56 26 0 6 13 3 36 5356 
 560 5 12 56 19 0 5 13 7 20 3083 
 566 4 8 47 24 0 6 13 7 32 4787 
 499 12 8 51 19 0 4 15 7 20 2777 
 302 10 15 49 25 1 7 13 4 40 7850 
 400 4 13 56 28 0 4 15 7 40 5570 
 300 10 15 56 29 0 8 8 7 40 8155 
 316 7 13 52 24 2 7 13 7 40 7448 
 500 4 14 55 31 1 10 6 4 20 5899 
 211 4 15 63 32 0 13 10 3 40 16995 
 201 4 11 58 27 0 13 10 7 40 16394 
 211 7 15 59 29 0 13 10 4 40 16995 
 102 4 15 58 27 1 13 10 4 40 17246 
 211 4 15 57 27 2 12 13 3 40 16083 
 201 4 15 56 28 1 12 13 3 40 15832 
 202 7 15 53 26 1 12 13 7 40 15832 
 201 4 13 59 27 1 12 13 3 40 14467 
 201 10 15 59 29 0 10 13 3 40 11975 
 200 4 15 58 28 0 10 13 8 40 11975 
 304 4 15 57 28 0 9 13 11 40 10228 
 201 4 15 54 27 0 10 13 3 40 11975 
 300 10 15 56 30 0 10 13 7 40 11975 
 301 10 11 54 26 0 7 13 7 40 7208 
 300 4 13 57 31 1 8 13 7 40 8303 
 301 4 13 53 27 0 9 6 3 40 8366 
 300 4 13 55 29 0 9 12 3 40 9202 
