Date/Time	Synchro	Capacity	Temp.Cold Head	Temp. Electrode	HV Supply Voltage	Electrode 1	Electrode 2	Electrode 3	Electrode 4
# Example data to read out.  Some data have oddities that might need to
# dealt with, including the 'NaN' in Electrode 4 and the empty string in Date/Time (last row)
08112010.160622	7	5.719000E-10	8.790500	24.237700	-0.008332	0	0	0	0
8112010.160626	7	5.710000E-10	8.828400	24.237500	-0.008818	0	0	0	0
08112010.160626	7	5.719000E-10	8.828400	24.237500	-0.008818	0	0	0	0
08112010.160627	7	5.719000E-10	9.014300	24.237400	-0.028564	0	0	0	NaN
08112010.160627	7	5.711000E-10	8.786000	24.237400	-0.008818	0	0	0	0
08112010.160628	7	5.702000E-10	8.786000	24.237400	-0.009141	0	0	0	0
08112010.160633	7	5.710000E-10	9.016200	24.237200	-0.008818	0	0	0	0
	7	5.710000E-10	8.903400	24.237200	-0.008818	0	0	0	0
